user,time,GL,URL
User1,132128,GL2_14,/en/
User1,132128,GL2_14,/en/
User1,132128,GL2_14,/en/
User1,132128,GL2_14,/en/
User1,132131,GL2_14,/en/
User1,132131,GL2_14,/en/
User1,132143,GL2_6,/en/
User1,132218,GL2_14,/en/
User1,132219,GL2_14,/en/
User1,132220,GL2_14,/en/
User1,132241,GL2_6,/en/
User1,132345,GL2_6,/zh_tw
User1,132349,GL2_6,/zh_tw
User1,132414,GL2_14,/zh_tw
User1,132415,GL2_14,/zh_tw
User1,132417,GL2_14,/zh_tw
User1,132417,GL2_14,/zh_tw
User1,132418,GL2_14,/zh_tw
User1,132418,GL2_14,/zh_tw
User1,132425,GL2_14,/zh_tw
User1,132426,GL2_14,/zh_tw
User1,132427,GL2_14,/zh_tw
User1,132427,GL2_14,/zh_tw
User1,132430,GL1_4,/zh_tw
User1,132430,GL5_5,/zh_tw
User1,132430,GL5_6,/zh_tw
User1,132439,GL1_4,/zh_tw
User1,132439,GL5_5,/zh_tw
User1,132439,GL5_6,/zh_tw
User1,132440,GL2_14,/zh_tw
User1,132440,GL2_14,/zh_tw
User1,132440,GL2_14,/zh_tw
User1,132444,GL2_14,/zh_tw
User1,132459,GL2_14,/zh_tw
User1,132500,GL2_14,/zh_tw
User1,132505,GL1_4,/zh_tw
User1,132505,GL5_5,/zh_tw
User1,132505,GL5_6,/zh_tw
User1,132507,GL2_13,/zh_tw
User1,132507,GL5_5,/zh_tw
User1,132507,GL5_6,/zh_tw
User1,132507,GL6_2,/zh_tw
User1,132515,GL1_4,/zh_tw
User1,132515,GL5_5,/zh_tw
User1,132515,GL5_6,/zh_tw
User1,132516,GL1_4,/zh_tw
User1,132516,GL5_5,/zh_tw
User1,132516,GL5_6,/zh_tw
User1,132517,GL1_4,/zh_tw
User1,132520,GL2_13,/zh_tw
User1,132520,GL5_5,/zh_tw
User1,132520,GL5_6,/zh_tw
User1,132520,GL6_2,/zh_tw
User1,132524,GL1_4,/zh_tw
User1,132525,GL2_13,/zh_tw
User1,132525,GL5_5,/zh_tw
User1,132525,GL5_6,/zh_tw
User1,132525,GL6_2,/zh_tw
User1,132529,GL1_4,/zh_tw
User1,132530,GL2_13,/zh_tw
User1,132530,GL5_5,/zh_tw
User1,132530,GL5_6,/zh_tw
User1,132530,GL6_2,/zh_tw
User1,132532,GL1_4,/zh_tw
User1,132534,GL2_13,/zh_tw
User1,132534,GL5_5,/zh_tw
User1,132534,GL5_6,/zh_tw
User1,132534,GL6_2,/zh_tw
User1,132539,GL1_4,/zh_tw
User1,132542,GL2_13,/zh_tw
User1,132542,GL5_5,/zh_tw
User1,132542,GL5_6,/zh_tw
User1,132542,GL6_2,/zh_tw
User1,132544,GL2_13,/zh_tw
User1,132544,GL5_5,/zh_tw
User1,132544,GL5_6,/zh_tw
User1,132544,GL6_2,/zh_tw
User1,132548,GL1_5,/zh_tw/information/trafficlist
